term	first_stage	exact_hit	lower_hit	is_illegible	dict_candidates	matcher_candidates	uuid_overlap	max_frequency
11 Janice Drive	unmatched	False	False	False	0	0	0	0
11 Morrison Street	unmatched	False	False	False	0	0	0	0
11 Rocky Hill Drive	unmatched	False	False	False	0	0	0	0
11 Tioga St.	unmatched	False	False	False	0	0	0	0
11 Walker street	unmatched	False	False	False	0	0	0	0
11 Worth street west	unmatched	False	False	False	0	0	0	0
11 a.m. Oct. 26	unmatched	False	False	False	0	0	0	0
11 miles east of here	unmatched	False	False	False	0	0	0	0
110 Seaman street	unmatched	False	False	False	0	0	0	0
110 West 20th St.	unmatched	False	False	False	0	0	0	0
1101 Lawson St.	unmatched	False	False	False	0	0	0	0
1101 N. Hughes	unmatched	False	False	False	0	0	0	0
1103 16th St.	unmatched	False	False	False	0	0	0	0
1104 N. Sheridan Rd.	unmatched	False	False	False	0	0	0	0
1105 Hamilton Ave.	unmatched	False	False	False	0	0	0	0
1105 Jefferson Ave.	unmatched	False	False	False	0	0	0	0
1105 Osborn Ave.	unmatched	False	False	False	0	0	0	0
1106 Ninth street	unmatched	False	False	False	0	0	0	0
1106 South Lamine street	unmatched	False	False	False	0	0	0	0
1106 W. Broadway	unmatched	False	False	False	0	0	0	0
1107 North Fiftyseventh avenue	unmatched	False	False	False	0	0	0	0
111 Hayward Road	unmatched	False	False	False	0	0	0	0
111 North Drake Street	unmatched	False	False	False	0	0	0	0
111 Park avenue	unmatched	False	False	False	0	0	0	0
1110 Moore St.	unmatched	False	False	False	0	0	0	0
1110 Starr St.	unmatched	False	False	False	0	0	0	0
1111 Pacific av.	unmatched	False	False	False	0	0	0	0
1112 W. Hillcrest Ave.	unmatched	False	False	False	0	0	0	0
1113 Ninth Avenue	unmatched	False	False	False	0	0	0	0
1113 Twentyfifth avenue	unmatched	False	False	False	0	0	0	0
1114 Seventh Street	unmatched	False	False	False	0	0	0	0
1115 N. Cambria St.	unmatched	False	False	False	0	0	0	0
1116 Blackstone Drive	unmatched	False	False	False	0	0	0	0
1118 E. Front St.	unmatched	False	False	False	0	0	0	0
1118 Thirteenth Ave.	unmatched	False	False	False	0	0	0	0
1118 West Johnson street	unmatched	False	False	False	0	0	0	0
112 2nd St.	unmatched	False	False	False	0	0	0	0
112 Lathrop St.	unmatched	False	False	False	0	0	0	0
112 West Sixth St	unmatched	False	False	False	0	0	0	0
1120 Keystone	unmatched	False	False	False	0	0	0	0
1121 street	unmatched	False	False	False	0	0	0	0
1123 Adams St.	unmatched	False	False	False	0	0	0	0
1124 North Eutaw street	unmatched	False	False	False	0	0	0	0
11242 Montana Ave.	unmatched	False	False	False	0	0	0	0
1126 Caledonia street	unmatched	False	False	False	0	0	0	0
1127 South Fourth Street	unmatched	False	False	False	0	0	0	0
113	unmatched	False	False	False	0	0	0	0
1137 East Halliday	unmatched	False	False	False	0	0	0	0
1137 George	unmatched	False	False	False	0	0	0	0
114 A .St.	unmatched	False	False	False	0	0	0	0
1145 Rutledge Street	unmatched	False	False	False	0	0	0	0
115 Bridge Ro.	unmatched	False	False	False	0	0	0	0
115 St. Race St.	unmatched	False	False	False	0	0	0	0
1150 Mill Creek Way	unmatched	False	False	False	0	0	0	0
1154 Highland	unmatched	False	False	False	0	0	0	0
1155 La Vista Road	unmatched	False	False	False	0	0	0	0
1169 Jay avenue	unmatched	False	False	False	0	0	0	0
117 Sherman street	unmatched	False	False	False	0	0	0	0
117 Van Buren	unmatched	False	False	False	0	0	0	0
118 Alta street	unmatched	False	False	False	0	0	0	0
118 Court St.	unmatched	False	False	False	0	0	0	0
118 I street northeast	unmatched	False	False	False	0	0	0	0
118 West Sixth Street	unmatched	False	False	False	0	0	0	0
119 Aganier	unmatched	False	False	False	0	0	0	0
11994 Javiez St.	unmatched	False	False	False	0	0	0	0
12 DeVille Dr.	unmatched	False	False	False	0	0	0	0
12 Marion St	unmatched	False	False	False	0	0	0	0
12 North street	unmatched	False	False	False	0	0	0	0
12 Sergeant avenue	unmatched	False	False	False	0	0	0	0
12 Summer Street	unmatched	False	False	False	0	0	0	0
12 W. Corwin Sr.	unmatched	False	False	False	0	0	0	0
12 miles south of Fredericksburg on US 1	unmatched	False	False	False	0	0	0	0
120 Farragut St.	unmatched	False	False	False	0	0	0	0
1204 Avenue E	unmatched	False	False	False	0	0	0	0
1204 Villa Street	unmatched	False	False	False	0	0	0	0
1205 Jackson at	unmatched	False	False	False	0	0	0	0
1206 Bluff Ave.	unmatched	False	False	False	0	0	0	0
1206 Murphy Avenue	unmatched	False	False	False	0	0	0	0
1207 Lincoln Avenue	unmatched	False	False	False	0	0	0	0
1208 Del.	unmatched	False	False	False	0	0	0	0
121 Concord St	unmatched	False	False	False	0	0	0	0
1211 E. Cherry in Sherman	unmatched	False	False	False	0	0	0	0
1212 16th St.	unmatched	False	False	False	0	0	0	0
1217 N. Cottage	unmatched	False	False	False	0	0	0	0
1217 New York ave.	unmatched	False	False	False	0	0	0	0
1218 Girard street	unmatched	False	False	False	0	0	0	0
1218 Hazel Dr.	unmatched	False	False	False	0	0	0	0
1218A Fulton street	unmatched	False	False	False	0	0	0	0
122 E. 4th Street	unmatched	False	False	False	0	0	0	0
122 North 1 street	unmatched	False	False	False	0	0	0	0
1220 Broadway	unmatched	False	False	False	0	0	0	0
1222 Nocturne Dr.	unmatched	False	False	False	0	0	0	0
1222 State street	unmatched	False	False	False	0	0	0	0
1226 Oneida Street	unmatched	False	False	False	0	0	0	0
1227 Dorothy St.	unmatched	False	False	False	0	0	0	0
123 Bowhall Rd.	unmatched	False	False	False	0	0	0	0
1231 Nelson street	unmatched	False	False	False	0	0	0	0
12329 Hawkeye Pointe	unmatched	False	False	False	0	0	0	0
1236 Norton	unmatched	False	False	False	0	0	0	0
1236 Second Avenue	unmatched	False	False	False	0	0	0	0
124 N. First St.	unmatched	False	False	False	0	0	0	0
1240 Irving street	unmatched	False	False	False	0	0	0	0
1240 N. Main St.	unmatched	False	False	False	0	0	0	0
12421 Central Ave.	unmatched	False	False	False	0	0	0	0
1244 Hemlock Drive	unmatched	False	False	False	0	0	0	0
1249 Haines Rd.	unmatched	False	False	False	0	0	0	0
125 Manple street	unmatched	False	False	False	0	0	0	0
125 Thirty-sixth Street NE	unmatched	False	False	False	0	0	0	0
1253 Alice Street	unmatched	False	False	False	0	0	0	0
12587 Leslie Rd.	unmatched	False	False	False	0	0	0	0
126 Falconer Street	unmatched	False	False	False	0	0	0	0
126 Union St.	unmatched	False	False	False	0	0	0	0
1276 Ilague Ave.	unmatched	False	False	False	0	0	0	0
128 Ferris Ave	unmatched	False	False	False	0	0	0	0
128 N. Sycamore	unmatched	False	False	False	0	0	0	0
128 North Cedar Street	unmatched	False	False	False	0	0	0	0
129 New Hampshire street	unmatched	False	False	False	0	0	0	0
1298 Galbraith Rd	unmatched	False	False	False	0	0	0	0
12th Ave and Seventh Avenue	unmatched	False	False	False	0	0	0	0
13 Cliff Street	unmatched	False	False	False	0	0	0	0
13 Lincoln Drive	unmatched	False	False	False	0	0	0	0
13 Sherman Ave.	unmatched	False	False	False	0	0	0	0
13 Warren St.	unmatched	False	False	False	0	0	0	0
1300 BE. 276 St.	unmatched	False	False	False	0	0	0	0
1300 George	unmatched	False	False	False	0	0	0	0
1304 East 17th North	unmatched	False	False	False	0	0	0	0
1305 Prairie Drive	unmatched	False	False	False	0	0	0	0
1306 Mary St.	unmatched	False	False	False	0	0	0	0
1306 W. Main St.	unmatched	False	False	False	0	0	0	0
1307 Fairmount avenue	unmatched	False	False	False	0	0	0	0
1307 S. Delaware	unmatched	False	False	False	0	0	0	0
1308 W. Levee St.	unmatched	False	False	False	0	0	0	0
131 Bridge Ave.	unmatched	False	False	False	0	0	0	0
131 East 34th St.	unmatched	False	False	False	0	0	0	0
131 Florida avenue northwest	unmatched	False	False	False	0	0	0	0
131 Salem Drive	unmatched	False	False	False	0	0	0	0
1312 Cadillac Dr.	unmatched	False	False	False	0	0	0	0
1313 Eagle Street	unmatched	False	False	False	0	0	0	0
1313 East Third street	unmatched	False	False	False	0	0	0	0
1313 Massachusetts Avenue Northwest	unmatched	False	False	False	0	0	0	0
1313 vns Drive	unmatched	False	False	False	0	0	0	0
1314 North Third street	unmatched	False	False	False	0	0	0	0
1315 Avenue J	unmatched	False	False	False	0	0	0	0
1317 Liberty Street	unmatched	False	False	False	0	0	0	0
131742 Crescent Rd	unmatched	False	False	False	0	0	0	0
1318 East Third Street	unmatched	False	False	False	0	0	0	0
1320 Cleveland avenue	unmatched	False	False	False	0	0	0	0
1321 36th St.	unmatched	False	False	False	0	0	0	0
1323 Lake street	unmatched	False	False	False	0	0	0	0
1323 Miami St.	unmatched	False	False	False	0	0	0	0
133 Davie Ct.	unmatched	False	False	False	0	0	0	0
1333 Madison Ave.	unmatched	False	False	False	0	0	0	0
134 Manchester Street	unmatched	False	False	False	0	0	0	0
134 South street	unmatched	False	False	False	0	0	0	0
1340 Kentucky Street	unmatched	False	False	False	0	0	0	0
135 Bronson Rd	unmatched	False	False	False	0	0	0	0
136 Fourth Ave. E.	unmatched	False	False	False	0	0	0	0
136 Poplar street	unmatched	False	False	False	0	0	0	0
13610 LaCuerta Ave	unmatched	False	False	False	0	0	0	0
1362 Parkwood Place N.W.	unmatched	False	False	False	0	0	0	0
138 Center Alley	unmatched	False	False	False	0	0	0	0
138 Main St.	unmatched	False	False	False	0	0	0	0
139 Franks street	unmatched	False	False	False	0	0	0	0
14 Corwin street	unmatched	False	False	False	0	0	0	0
14 E street southeast	unmatched	False	False	False	0	0	0	0
14 Fifth Avenue	unmatched	False	False	False	0	0	0	0
14 Hillcrest Manor	unmatched	False	False	False	0	0	0	0
14 Lincoln Avenue	unmatched	False	False	False	0	0	0	0
14 Marshall Street	unmatched	False	False	False	0	0	0	0
14 Wort 58th street	unmatched	False	False	False	0	0	0	0
14 miles west of Kayenta	unmatched	False	False	False	0	0	0	0
140 Carol Lane	unmatched	False	False	False	0	0	0	0
1401 Sheridan street N.W.	unmatched	False	False	False	0	0	0	0
1402 Dakota avenue	unmatched	False	False	False	0	0	0	0
1404 O street	unmatched	False	False	False	0	0	0	0
1405 Carrst	unmatched	False	False	False	0	0	0	0
1406 A Street	unmatched	False	False	False	0	0	0	0
1406 Less St.	unmatched	False	False	False	0	0	0	0
1406 Mulberry Ave.	unmatched	False	False	False	0	0	0	0
1408 Fairway	unmatched	False	False	False	0	0	0	0
1409 Woodlawn avenue	unmatched	False	False	False	0	0	0	0
1410 Eagle St.	unmatched	False	False	False	0	0	0	0
1410 South 16th Street	unmatched	False	False	False	0	0	0	0
1411 Parnell	unmatched	False	False	False	0	0	0	0
1412 Euclid St	unmatched	False	False	False	0	0	0	0
1412 Orange Avenue	unmatched	False	False	False	0	0	0	0
1415 N. 16th St.	unmatched	False	False	False	0	0	0	0
1416th Ave.	unmatched	False	False	False	0	0	0	0
1417 North Washington street	unmatched	False	False	False	0	0	0	0
1418 Up land Ave.	unmatched	False	False	False	0	0	0	0
1419 Bland Boulevard	unmatched	False	False	False	0	0	0	0
1419 Second avenue SE	unmatched	False	False	False	0	0	0	0
142 West High Street	unmatched	False	False	False	0	0	0	0
1420 Nottingham Road	unmatched	False	False	False	0	0	0	0
1423 Park Avenue	unmatched	False	False	False	0	0	0	0
1424 W John	unmatched	False	False	False	0	0	0	0
1425 Ordlee St.	unmatched	False	False	False	0	0	0	0
1426 Goodale Ave.	unmatched	False	False	False	0	0	0	0
1427 Sampson	unmatched	False	False	False	0	0	0	0
1428 Mifflin street	unmatched	False	False	False	0	0	0	0
1429 Bellevue Avenue	unmatched	False	False	False	0	0	0	0
1429 North street	unmatched	False	False	False	0	0	0	0
143 Winston Ave.	unmatched	False	False	False	0	0	0	0
1431 South The Kansas City	unmatched	False	False	False	0	0	0	0
1437 Chatham street	unmatched	False	False	False	0	0	0	0
144 Spruce St	unmatched	False	False	False	0	0	0	0
1441 Wood	unmatched	False	False	False	0	0	0	0
1447 E	unmatched	False	False	False	0	0	0	0
145 Ray Mar Village	unmatched	False	False	False	0	0	0	0
1452 14th St. N.W.	unmatched	False	False	False	0	0	0	0
1456 N. Springfield	unmatched	False	False	False	0	0	0	0
1457 LinesIn avenue	unmatched	False	False	False	0	0	0	0
145?	unmatched	False	False	False	0	0	0	0
1470 Peterson Ave.	unmatched	False	False	False	0	0	0	0
1471 Irving Street Northwest	unmatched	False	False	False	0	0	0	0
15 2nd NE	unmatched	False	False	False	0	0	0	0
15 Fair Street	unmatched	False	False	False	0	0	0	0
1501 Lafayette Ave.	unmatched	False	False	False	0	0	0	0
1502 A St.	unmatched	False	False	False	0	0	0	0
1502 Seventh Avenue	unmatched	False	False	False	0	0	0	0
1503 N. Main street	unmatched	False	False	False	0	0	0	0
1503 Pats Dr.	unmatched	False	False	False	0	0	0	0
1504 Seventeenth Street	unmatched	False	False	False	0	0	0	0
1506 Linden avenue	unmatched	False	False	False	0	0	0	0
1506 Randy Lane	unmatched	False	False	False	0	0	0	0
1509 Parkway St.	unmatched	False	False	False	0	0	0	0
1509 Seventh Ave.	unmatched	False	False	False	0	0	0	0
151 Amity St.	unmatched	False	False	False	0	0	0	0
151 North Williams St.	unmatched	False	False	False	0	0	0	0
1510 Commerce St.	unmatched	False	False	False	0	0	0	0
1512 Michigan Avenue	unmatched	False	False	False	0	0	0	0
1513 E avenue northeast	unmatched	False	False	False	0	0	0	0
1513 Main Street	unmatched	False	False	False	0	0	0	0
1515 Seventh Ave. W.	unmatched	False	False	False	0	0	0	0
1515 South Grand	unmatched	False	False	False	0	0	0	0
1518 East Market Street	unmatched	False	False	False	0	0	0	0
151st St.	unmatched	False	False	False	0	0	0	0
152 Doxey court	unmatched	False	False	False	0	0	0	0
152 First Avenue	unmatched	False	False	False	0	0	0	0
15205 Marilyn Dr.	unmatched	False	False	False	0	0	0	0
1521 Park street	unmatched	False	False	False	0	0	0	0
1522 Houston	unmatched	False	False	False	0	0	0	0
1524D Oldtowne Manor	unmatched	False	False	False	0	0	0	0
1530 West Madison street	unmatched	False	False	False	0	0	0	0
1534 Clermont street	unmatched	False	False	False	0	0	0	0
154 North Main St.	unmatched	False	False	False	0	0	0	0
1544 Davenport Avenue	unmatched	False	False	False	0	0	0	0
1545 Fourth street N.W.	unmatched	False	False	False	0	0	0	0
155 South Forest Hill Drive	unmatched	False	False	False	0	0	0	0
1555 Boyd Ave.	unmatched	False	False	False	0	0	0	0
1563 Dodge Street	unmatched	False	False	False	0	0	0	0
158 Main St.	unmatched	False	False	False	0	0	0	0
158 Pennsylvania Ave.	unmatched	False	False	False	0	0	0	0
159 Blanche Street	unmatched	False	False	False	0	0	0	0
159 No Green St	unmatched	False	False	False	0	0	0	0
1593 Figueroa street	unmatched	False	False	False	0	0	0	0
16 Coventry Court	unmatched	False	False	False	0	0	0	0
16 Hemlock Hill Road	unmatched	False	False	False	0	0	0	0
16 Partridge Ave.	unmatched	False	False	False	0	0	0	0
16 Pollard street	unmatched	False	False	False	0	0	0	0
16 South Rockburn street	unmatched	False	False	False	0	0	0	0
160 Fomeroy avenue	unmatched	False	False	False	0	0	0	0
160 Franklin St.	unmatched	False	False	False	0	0	0	0
1607 17th street	unmatched	False	False	False	0	0	0	0
1607 Margaretha Ave.	unmatched	False	False	False	0	0	0	0
1608 South Twelfth St.	unmatched	False	False	False	0	0	0	0
160T 2 Street	unmatched	False	False	False	0	0	0	0
1610 Prairie street	unmatched	False	False	False	0	0	0	0
1614 S. Carolina	unmatched	False	False	False	0	0	0	0
1615 Clifton Avenue	unmatched	False	False	False	0	0	0	0
1616 Ohio Street	unmatched	False	False	False	0	0	0	0
1618 East Seventh	unmatched	False	False	False	0	0	0	0
1618 West Twentysixth	unmatched	False	False	False	0	0	0	0
162 Lower Orchard Drive	unmatched	False	False	False	0	0	0	0
1621 Opossum Town Pike	unmatched	False	False	False	0	0	0	0
1622 Dual Highway	unmatched	False	False	False	0	0	0	0
1624 1th street northwest	unmatched	False	False	False	0	0	0	0
1628 Alpine Drive	unmatched	False	False	False	0	0	0	0
163 City Hill St.	unmatched	False	False	False	0	0	0	0
1630 Smead street	unmatched	False	False	False	0	0	0	0
1632 Hanover street	unmatched	False	False	False	0	0	0	0
164 Hespeler Avenue	unmatched	False	False	False	0	0	0	0
1641B Morgan Ct.	unmatched	False	False	False	0	0	0	0
1646 Fast street	unmatched	False	False	False	0	0	0	0
1651 East Main Road	unmatched	False	False	False	0	0	0	0
166 Ravine St.	unmatched	False	False	False	0	0	0	0
1660 King St.	unmatched	False	False	False	0	0	0	0
1662 E. Lynn Sr.	unmatched	False	False	False	0	0	0	0
1696 Steensland Jr.	unmatched	False	False	False	0	0	0	0
16th street	unmatched	False	False	False	0	0	0	0
17 College street	unmatched	False	False	False	0	0	0	0
17 Idolstone Road	unmatched	False	False	False	0	0	0	0
17 N Haven Dr.	unmatched	False	False	False	0	0	0	0
17 N. Thacker Ave.	unmatched	False	False	False	0	0	0	0
17 Pierce avenue	unmatched	False	False	False	0	0	0	0
17 Sweeney Lane	unmatched	False	False	False	0	0	0	0
1700 Glenn Ave.	unmatched	False	False	False	0	0	0	0
1703 Chatham St.	unmatched	False	False	False	0	0	0	0
1704 3rd Ave.	unmatched	False	False	False	0	0	0	0
1708 Diane Street	unmatched	False	False	False	0	0	0	0
1709 Ba Tronne street	unmatched	False	False	False	0	0	0	0
1710 Flemming Road	unmatched	False	False	False	0	0	0	0
1712 N. Ohio Ave.	unmatched	False	False	False	0	0	0	0
1715 S. Oxnard Blvd.	unmatched	False	False	False	0	0	0	0
1717 Onsgard Rd.	unmatched	False	False	False	0	0	0	0
1718 Primrose Drive	unmatched	False	False	False	0	0	0	0
1721 Belmont Street	unmatched	False	False	False	0	0	0	0
1721 Green Street	unmatched	False	False	False	0	0	0	0
1724 Buckeye Ave.	unmatched	False	False	False	0	0	0	0
1726 Ohio 503	unmatched	False	False	False	0	0	0	0
1737 E. Second	unmatched	False	False	False	0	0	0	0
1741 Banker Place	unmatched	False	False	False	0	0	0	0
1745 N street	unmatched	False	False	False	0	0	0	0
175 Tretune Ave	unmatched	False	False	False	0	0	0	0
1766 Central Avenue	unmatched	False	False	False	0	0	0	0
1767 State St.	unmatched	False	False	False	0	0	0	0
1771 Morada Pl.	unmatched	False	False	False	0	0	0	0
1792 Michigan Street	unmatched	False	False	False	0	0	0	0
1793 Boca Raton Court	unmatched	False	False	False	0	0	0	0
1793 Broadway	unmatched	False	False	False	0	0	0	0
18 Elm Drive	unmatched	False	False	False	0	0	0	0
18 Ferry Blvd.	unmatched	False	False	False	0	0	0	0
18 High St.	unmatched	False	False	False	0	0	0	0
18 Lafayette ave.	unmatched	False	False	False	0	0	0	0
18 McCrea St.	unmatched	False	False	False	0	0	0	0
18 Richards Drive	unmatched	False	False	False	0	0	0	0
18 South Capitol St	unmatched	False	False	False	0	0	0	0
18 i East St. James St.	unmatched	False	False	False	0	0	0	0
180 Bonham	unmatched	False	False	False	0	0	0	0
1801 Holland Street	unmatched	False	False	False	0	0	0	0
1804 Quih St Weel	unmatched	False	False	False	0	0	0	0
1807 S. Michigan st.	unmatched	False	False	False	0	0	0	0
1811 Key Boulevard	unmatched	False	False	False	0	0	0	0
1811 N. Zarramora street	unmatched	False	False	False	0	0	0	0
1812 Myrtle Street	unmatched	False	False	False	0	0	0	0
1817 Smead street	unmatched	False	False	False	0	0	0	0
1818 Webster street	unmatched	False	False	False	0	0	0	0
182 Eighteenth street northwest	unmatched	False	False	False	0	0	0	0
1820 Byers avenue	unmatched	False	False	False	0	0	0	0
1824 55th St.	unmatched	False	False	False	0	0	0	0
1824 Logan Ave	unmatched	False	False	False	0	0	0	0
1825 Robinson avenue	unmatched	False	False	False	0	0	0	0
182nd St.	unmatched	False	False	False	0	0	0	0
1834 Girard avenue 8	unmatched	False	False	False	0	0	0	0
18394 Green St.	unmatched	False	False	False	0	0	0	0
184 Hardacre Dr.	unmatched	False	False	False	0	0	0	0
1843 Hawk ins Court	unmatched	False	False	False	0	0	0	0
1849 West Twentieth street	unmatched	False	False	False	0	0	0	0
185 Low Street	unmatched	False	False	False	0	0	0	0
1862 Shawnee Rd.	unmatched	False	False	False	0	0	0	0
189 Claremont Ave	unmatched	False	False	False	0	0	0	0
18938 South Third street	unmatched	False	False	False	0	0	0	0
19 Barr St	unmatched	False	False	False	0	0	0	0
19 Dunlogging Road	unmatched	False	False	False	0	0	0	0
19 East Fourth Street	unmatched	False	False	False	0	0	0	0
19 Pickney Road	unmatched	False	False	False	0	0	0	0
19 Ross Street	unmatched	False	False	False	0	0	0	0
190 Third St.	unmatched	False	False	False	0	0	0	0
1900 R street northwest	unmatched	False	False	False	0	0	0	0
1901 Adams st.	unmatched	False	False	False	0	0	0	0
1904 Market street	unmatched	False	False	False	0	0	0	0
1910 14th St.	unmatched	False	False	False	0	0	0	0
192 North Main St.	unmatched	False	False	False	0	0	0	0
1930 Shelby street	unmatched	False	False	False	0	0	0	0
1940 S. Vermont	unmatched	False	False	False	0	0	0	0
1944 Eighteenth street	unmatched	False	False	False	0	0	0	0
195 Oklahoma Ave. SW	unmatched	False	False	False	0	0	0	0
1961 South Arizona Street	unmatched	False	False	False	0	0	0	0
1966 Sugar Creek Drive	unmatched	False	False	False	0	0	0	0
197 E. 18th St.	unmatched	False	False	False	0	0	0	0
1MN. Hickory St	unmatched	False	False	False	0	0	0	0
1st Ave. N	unmatched	False	False	False	0	0	0	0
1st Baptist church	unmatched	False	False	False	0	0	0	0
2	unmatched	False	False	False	0	0	0	0
2 Austin St.	unmatched	False	False	False	0	0	0	0
2 Condor street	unmatched	False	False	False	0	0	0	0
2 F street northeast	unmatched	False	False	False	0	0	0	0
2 Jefferson street	unmatched	False	False	False	0	0	0	0
2 Lakeview Drive	unmatched	False	False	False	0	0	0	0
2 Laurel Road	unmatched	False	False	False	0	0	0	0
2 School St.	unmatched	False	False	False	0	0	0	0
2 W. Spruce St	unmatched	False	False	False	0	0	0	0
2 miles west of Economy	unmatched	False	False	False	0	0	0	0
2 miles west of Harrison	unmatched	False	False	False	0	0	0	0
2 street near First street northwest	unmatched	False	False	False	0	0	0	0
20 McKinley Avenue	unmatched	False	False	False	0	0	0	0
20 Staveley street	unmatched	False	False	False	0	0	0	0
200 block of Star Lane	unmatched	False	False	False	0	0	0	0
2005 George street	unmatched	False	False	False	0	0	0	0
2008 Kanawha Blvd.	unmatched	False	False	False	0	0	0	0
2009 George street	unmatched	False	False	False	0	0	0	0
201 State St.	unmatched	False	False	False	0	0	0	0
2010 Waverly Dr.	unmatched	False	False	False	0	0	0	0
20104 E. 13th St. Ter. South	unmatched	False	False	False	0	0	0	0
2011 Mata moros street	unmatched	False	False	False	0	0	0	0
2012 Cisco Court	unmatched	False	False	False	0	0	0	0
2014 Jackson street	unmatched	False	False	False	0	0	0	0
2016 Mission Street	unmatched	False	False	False	0	0	0	0
202 St. Francis	unmatched	False	False	False	0	0	0	0
2023 Elm	unmatched	False	False	False	0	0	0	0
